cafeBranch,cafeSales,cafeEmail,cafePhone
87-791-284,24,jrenner0@toplist.cz,773-122-0672
06-690-368,46,rwhiteman1@elpais.com,519-737-6712
21-817-007,62,ocarlaw2@nature.com,109-387-1072
65-757-701,4,rhabershon3@multiply.com,753-411-3616
06-370-194,36,cneicho4@smh.com.au,830-339-0595
86-198-093,6,espurr5@google.com.br,314-863-9596
24-833-710,38,iheppner6@imdb.com,866-620-8162
11-035-235,99,djosiah7@privacy.gov.au,117-386-3322
00-578-980,36,sosbaldstone8@ft.com,319-640-4781
09-364-830,10,ppentelow9@unblog.fr,445-803-6436
82-372-159,79,bamerya@rakuten.co.jp,957-294-1317
10-943-565,95,adoileyb@jigsy.com,658-810-4335
86-163-066,22,calsterc@boston.com,400-279-1844
11-534-918,37,afonquernied@yolasite.com,748-828-6186
03-031-378,33,lbulfoote@webmd.com,612-906-5131
00-888-615,86,wworganf@ameblo.jp,837-170-6078
43-078-470,21,apapisg@is.gd,141-918-5197
37-487-920,93,jwoollcotth@technorati.com,885-391-2775
02-687-982,44,dsoppitti@multiply.com,547-125-0508
65-585-834,98,ebodessonj@seattletimes.com,759-943-2822
43-348-037,10,jdampierk@archive.org,250-451-8960
55-613-318,74,ghatonl@zimbio.com,697-881-9989
21-692-115,87,llamblotm@amazon.com,385-536-1718
71-694-755,15,rharrawayn@ihg.com,716-485-2913
36-641-080,1,dwestmancoato@cam.ac.uk,683-276-0120
70-930-866,33,sschuchmacherp@seattletimes.com,499-108-7438
44-415-906,54,lscaddonq@google.ca,175-558-1201
08-366-818,76,ppieruccir@ft.com,445-890-0346
27-890-866,36,rlangstraths@360.cn,643-401-9489
55-460-736,50,dslaneyt@indiatimes.com,581-553-2324
72-256-084,69,adaccau@senate.gov,202-437-4425
99-967-581,70,lfrisdickv@unesco.org,164-474-7828
18-791-132,50,cduckerinw@yolasite.com,887-425-3337
01-099-359,34,jwemx@squidoo.com,330-866-6312
90-673-949,87,mtweedyy@theglobeandmail.com,745-987-7559
37-078-836,87,mwroughtonz@cloudflare.com,220-594-5679
64-888-827,3,efeirn10@hc360.com,474-636-8578
70-073-717,44,jcharville11@i2i.jp,853-552-5823
76-745-053,69,jmacnally12@independent.co.uk,992-361-9862
52-907-122,70,tragless13@facebook.com,812-507-1938
03-893-741,90,lwilkins14@go.com,230-398-0277
19-810-556,92,scrombleholme15@ycombinator.com,514-791-6038
35-775-989,81,vfey16@yale.edu,971-358-5592
04-904-697,68,csummerell17@berkeley.edu,909-201-0660
69-782-323,55,sdunbobbin18@spotify.com,327-433-6366
04-519-495,23,forth19@tuttocitta.it,638-430-9131
05-607-125,73,fdenes1a@chron.com,629-251-7170
42-939-594,44,smoryson1b@howstuffworks.com,992-875-3855
64-988-153,8,gdutton1c@admin.ch,783-251-3358
71-371-605,56,evala1d@booking.com,319-434-8168
