staffID,firstName,lastName,email,position,branchID,phoneNum
8033,Wanda,Wornum,wwornum0@springer.com,cashier,95-298-739,573-488-1459
4733,Dal,Albutt,dalbutt1@cisco.com,cashier,78-494-920,413-671-0095
9033,Norina,Botright,nbotright2@t-online.de,cashier,43-826-984,979-457-9676
5133,Sansone,Boutwell,sboutwell3@parallels.com,cashier,96-927-709,289-346-9959
7933,Arron,Pinsent,apinsent4@youtube.com,cashier,06-180-601,260-565-0649
8333,Odo,Clemonts,oclemonts5@wordpress.org,cashier,31-968-019,900-140-1728
933,Blake,Whapham,bwhapham6@parallels.com,cashier,25-549-744,404-336-3698
4433,Bea,McDade,bmcdade7@icq.com,cashier,58-176-906,291-743-0480
6033,Abel,Iceton,aiceton8@ameblo.jp,cashier,05-944-530,337-307-4848
1833,Maridel,Terney,mterney9@imgur.com,manager,16-907-526,363-932-9550
1033,Honoria,Janew,hjanewa@youtube.com,manager,92-331-560,833-338-4836
9833,Kynthia,Yearns,kyearnsb@samsung.com,manager,15-880-465,880-115-8403
1033,Neal,Philippe,nphilippec@feedburner.com,manager,89-749-242,792-237-6232
8733,Naomi,Forsythe,nforsythed@amazon.com,manager,78-872-295,299-135-1162
1733,Arvy,Ions,aionse@dot.gov,manager,56-791-998,439-148-0670
2333,Charmain,Chasier,cchasierf@prnewswire.com,stocker,80-486-711,936-760-2002
5333,Belicia,Stockall,bstockallg@infoseek.co.jp,stocker,23-088-327,872-320-8435
6733,Rois,Cotmore,rcotmoreh@aol.com,stocker,17-742-781,849-581-5281
4933,Norah,Fader,nfaderi@etsy.com,stocker,97-469-990,568-896-6273
633,Ellsworth,Mulqueeny,emulqueenyj@cnn.com,stocker,38-132-336,529-467-5472
4133,Erin,Laboune,elabounek@istockphoto.com,stocker,93-692-166,898-138-4349
2933,Emmye,Grigorushkin,egrigorushkinl@reuters.com,stocker,51-211-178,300-836-1992
3433,Carroll,Grinvalds,cgrinvaldsm@t-online.de,stocker,27-417-355,461-677-7048
1733,Ferdinand,Voules,fvoulesn@chron.com,stocker,75-102-593,246-703-3468
1333,Woodie,Barfitt,wbarfitto@cbc.ca,stocker,24-848-683,104-138-6255
8533,Chantalle,Darkins,cdarkinsp@so-net.ne.jp,stocker,84-251-038,781-397-2670
7433,Ilse,Jahnisch,ijahnischq@homestead.com,stocker,52-300-746,790-274-1072
1833,Reginald,Buchanan,rbuchananr@de.vu,stocker,18-768-707,180-830-7903
1833,Eb,Clashe,eclashes@seattletimes.com,stocker,34-384-764,849-253-5075
2933,Winnah,Kinzett,wkinzettt@drupal.org,stocker,90-261-515,826-885-5032
8033,Maye,Haxby,mhaxbyu@google.ru,cashier,93-284-522,512-927-2645
9733,Orelia,Stokoe,ostokoev@clickbank.net,cashier,19-890-941,396-463-8046
2833,Graig,O' Clovan,goclovanw@biglobe.ne.jp,cashier,80-943-300,866-517-0964
9233,Brandtr,Bortolini,bbortolinix@tripod.com,cashier,20-071-399,617-338-7693
4433,Anatollo,Hitcham,ahitchamy@4shared.com,stocker,78-576-178,646-600-6112
5833,Karmen,Readwood,kreadwoodz@soundcloud.com,manager,88-314-802,408-666-4179
5733,Shauna,Conduit,sconduit10@feedburner.com,manager,46-786-349,208-777-7679
5933,Bancroft,Elcoux,belcoux11@wikispaces.com,manager,86-091-586,824-378-0861
7033,Jen,Karchewski,jkarchewski12@sakura.ne.jp,cashier,05-417-299,571-852-1240
7933,Sammie,Mourge,smourge13@about.me,stocker,22-946-554,995-921-1662
2533,Pamelina,McPeck,pmcpeck14@dagondesign.com,stocker,22-993-551,879-816-2891
3333,Freddy,Schops,fschops15@nhs.uk,stocker,09-389-651,758-419-7660
6633,Zarla,Gionettitti,zgionettitti16@liveinternet.ru,stocker,54-258-712,508-140-0093
3133,Taber,McVaugh,tmcvaugh17@twitpic.com,cashier,67-709-269,963-179-2376
5533,Chaunce,Baxstar,cbaxstar18@over-blog.com,cashier,77-652-319,857-533-6418
9633,Brenden,Yearn,byearn19@foxnews.com,cashier,43-581-734,660-475-7477
7633,Pascale,Curling,pcurling1a@theguardian.com,manager,83-499-457,415-832-1848
9033,Alvis,Newey,anewey1b@pagesperso-orange.fr,manager,17-031-600,308-234-9368
3033,Corri,Poulden,cpoulden1c@sina.com.cn,manager,81-127-367,510-469-1856
733,Emlen,Mitkcov,emitkcov1d@foxnews.com,cashier,34-184-104,741-931-3510
